areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,2020-08-08,679,267324
nation,England,E92000001,2020-08-07,796,266645
nation,England,E92000001,2020-08-06,826,265849
nation,England,E92000001,2020-08-05,804,265023
nation,England,E92000001,2020-08-04,617,264219
nation,England,E92000001,2020-08-03,856,263602
nation,England,E92000001,2020-08-02,676,262746
nation,England,E92000001,2020-08-01,722,262070
nation,England,E92000001,2020-07-31,814,261348
nation,England,E92000001,2020-07-30,812,260534
nation,England,E92000001,2020-07-29,700,259722
nation,England,E92000001,2020-07-28,547,259022
nation,England,E92000001,2020-07-27,616,258475
nation,England,E92000001,2020-07-26,721,257859
nation,England,E92000001,2020-07-25,710,257138
nation,England,E92000001,2020-07-24,688,256428
nation,England,E92000001,2020-07-23,702,255740
nation,England,E92000001,2020-07-22,519,255038
nation,England,E92000001,2020-07-21,399,254519
nation,England,E92000001,2020-07-20,535,254120
nation,England,E92000001,2020-07-19,672,253585
nation,England,E92000001,2020-07-18,796,252913
nation,England,E92000001,2020-07-17,635,252117
nation,England,E92000001,2020-07-16,597,251482
nation,England,E92000001,2020-07-15,506,250885
nation,England,E92000001,2020-07-14,372,250379
nation,England,E92000001,2020-07-13,497,250007
nation,England,E92000001,2020-07-12,615,249510
nation,England,E92000001,2020-07-11,806,248895
nation,England,E92000001,2020-07-10,480,248089
nation,England,E92000001,2020-07-09,617,247609
nation,England,E92000001,2020-07-08,606,246992
nation,England,E92000001,2020-07-07,572,246386
nation,England,E92000001,2020-07-06,331,245814
nation,England,E92000001,2020-07-05,492,245483
nation,England,E92000001,2020-07-04,579,244991
nation,England,E92000001,2020-07-03,502,244412
nation,England,E92000001,2020-07-02,523,243910
nation,England,E92000001,2020-07-01,177,160764
nation,England,E92000001,2020-06-30,196,160587
nation,England,E92000001,2020-06-29,99,160391
nation,England,E92000001,2020-06-28,142,160292
nation,England,E92000001,2020-06-27,192,160150
nation,England,E92000001,2020-06-26,175,159958
nation,England,E92000001,2020-06-25,261,159696
nation,England,E92000001,2020-06-24,107,159435
nation,England,E92000001,2020-06-23,210,159328
nation,England,E92000001,2020-06-22,178,159118
nation,England,E92000001,2020-06-21,215,158940
nation,England,E92000001,2020-06-20,324,158725
nation,England,E92000001,2020-06-19,323,158401
nation,England,E92000001,2020-06-18,281,158078
nation,England,E92000001,2020-06-17,252,157797
nation,England,E92000001,2020-06-16,252,157545
nation,England,E92000001,2020-06-15,219,157293
nation,England,E92000001,2020-06-14,292,157074
nation,England,E92000001,2020-06-13,372,156782
nation,England,E92000001,2020-06-12,392,156410
nation,England,E92000001,2020-06-11,304,156018
nation,England,E92000001,2020-06-10,63,155714
nation,England,E92000001,2020-06-09,651,155651
nation,England,E92000001,2020-06-08,92,155000
nation,England,E92000001,2020-06-07,228,154908
nation,England,E92000001,2020-06-06,422,154680
nation,England,E92000001,2020-06-05,451,154258
nation,England,E92000001,2020-06-04,431,153807
nation,England,E92000001,2020-06-03,462,153376
nation,England,E92000001,2020-06-02,444,152914
nation,England,E92000001,2020-06-01,294,152470
nation,England,E92000001,2020-05-31,320,152176
nation,England,E92000001,2020-05-30,715,151856
nation,England,E92000001,2020-05-29,560,151982
nation,England,E92000001,2020-05-28,519,151422
nation,England,E92000001,2020-05-27,609,150903
nation,England,E92000001,2020-05-26,492,150294
nation,England,E92000001,2020-05-25,494,149802
nation,England,E92000001,2020-05-24,584,149308
nation,England,E92000001,2020-05-23,979,148724
nation,England,E92000001,2020-05-22,1083,147745
nation,England,E92000001,2020-05-21,854,146662
nation,England,E92000001,2020-05-20,824,145808
nation,England,E92000001,2020-05-19,857,145376
nation,England,E92000001,2020-05-18,816,144519
nation,England,E92000001,2020-05-17,788,143703
nation,England,E92000001,2020-05-16,1136,142915
nation,England,E92000001,2020-05-15,1112,141779
nation,England,E92000001,2020-05-14,1189,140667
nation,England,E92000001,2020-05-13,1146,139478
nation,England,E92000001,2020-05-12,1067,138332
nation,England,E92000001,2020-05-11,891,137265
nation,England,E92000001,2020-05-10,1007,136374
nation,England,E92000001,2020-05-09,1349,135367
nation,England,E92000001,2020-05-08,1694,134018
nation,England,E92000001,2020-05-07,2133,132324
nation,England,E92000001,2020-05-06,1611,130191
nation,England,E92000001,2020-05-05,1842,128580
nation,England,E92000001,2020-05-04,1485,126738
nation,England,E92000001,2020-05-03,2019,125253
nation,England,E92000001,2020-05-02,2228,123234
nation,England,E92000001,2020-05-01,2501,121006
nation,England,E92000001,2020-04-30,2484,118343
nation,England,E92000001,2020-04-29,1403,115859
nation,England,E92000001,2020-04-28,1989,114456
nation,England,E92000001,2020-04-27,2264,112467
nation,England,E92000001,2020-04-26,2152,110203
nation,England,E92000001,2020-04-25,2826,108051
nation,England,E92000001,2020-04-24,3004,105225
nation,England,E92000001,2020-04-23,3084,102221
nation,England,E92000001,2020-04-22,3020,99137
nation,England,E92000001,2020-04-21,3087,96117
nation,England,E92000001,2020-04-20,2401,93030
nation,England,E92000001,2020-04-19,3607,90629
nation,England,E92000001,2020-04-18,3548,87022
nation,England,E92000001,2020-04-17,3985,83474
nation,England,E92000001,2020-04-16,3118,79489
nation,England,E92000001,2020-04-15,3188,76371
nation,England,E92000001,2020-04-14,3854,73183
nation,England,E92000001,2020-04-13,2999,69329
nation,England,E92000001,2020-04-12,3672,66330
nation,England,E92000001,2020-04-11,3841,62658
nation,England,E92000001,2020-04-10,4263,58817
nation,England,E92000001,2020-04-09,3798,54554
nation,England,E92000001,2020-04-08,4788,50756
nation,England,E92000001,2020-04-07,2978,45968
nation,England,E92000001,2020-04-06,3176,42990
nation,England,E92000001,2020-04-05,5107,39814
nation,England,E92000001,2020-04-04,2910,34707
nation,England,E92000001,2020-04-03,3576,31797
nation,England,E92000001,2020-04-02,3583,28221
nation,England,E92000001,2020-04-01,3630,24638
nation,England,E92000001,2020-03-31,2414,21008
nation,England,E92000001,2020-03-30,2107,18594
nation,England,E92000001,2020-03-29,2060,16487
nation,England,E92000001,2020-03-28,2139,14427
nation,England,E92000001,2020-03-27,2506,12288
nation,England,E92000001,2020-03-26,1809,9782
nation,England,E92000001,2020-03-25,1130,7973
nation,England,E92000001,2020-03-24,1258,6843
nation,England,E92000001,2020-03-23,793,5585
nation,England,E92000001,2020-03-22,535,4792
nation,England,E92000001,2020-03-21,873,4257
nation,England,E92000001,2020-03-20,628,3384
nation,England,E92000001,2020-03-19,574,2756
nation,England,E92000001,2020-03-18,625,2182
nation,England,E92000001,2020-03-17,361,1557
nation,England,E92000001,2020-03-16,97,1196
nation,England,E92000001,2020-03-15,253,1099
nation,England,E92000001,2020-03-14,201,846
nation,England,E92000001,2020-03-13,159,645
nation,England,E92000001,2020-03-12,99,486
nation,England,E92000001,2020-03-11,63,387
nation,England,E92000001,2020-03-10,46,324
nation,England,E92000001,2020-03-09,40,282
nation,England,E92000001,2020-03-08,58,241
nation,England,E92000001,2020-03-07,39,183
nation,England,E92000001,2020-03-06,39,144
nation,England,E92000001,2020-03-05,25,105
nation,England,E92000001,2020-03-04,32,80
nation,England,E92000001,2020-03-03,11,48
nation,England,E92000001,2020-03-02,4,37
nation,England,E92000001,2020-03-01,12,33
nation,England,E92000001,2020-02-29,3,21
nation,England,E92000001,2020-02-28,5,18
nation,England,E92000001,2020-02-27,0,13
nation,England,E92000001,2020-02-26,0,13
nation,England,E92000001,2020-02-25,0,13
nation,England,E92000001,2020-02-24,4,13
nation,England,E92000001,2020-02-23,0,9
nation,England,E92000001,2020-02-22,0,9
nation,England,E92000001,2020-02-21,0,9
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,1,9
nation,England,E92000001,2020-02-12,0,8
nation,England,E92000001,2020-02-11,0,8
nation,England,E92000001,2020-02-10,4,8
nation,England,E92000001,2020-02-09,1,4
nation,England,E92000001,2020-02-08,0,3
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,1,3
nation,England,E92000001,2020-02-05,0,2
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,2,2
nation,England,E92000001,2020-01-30,0,
nation,England,E92000001,2020-01-29,0,
nation,England,E92000001,2020-01-28,0,
nation,England,E92000001,2020-01-27,0,
nation,England,E92000001,2020-01-26,0,
nation,England,E92000001,2020-01-25,0,
nation,England,E92000001,2020-01-24,0,
