Date,MeanR,StdR,Code
16/03/2020,1.743584579,1.250241826,AD
17/03/2020,33.92292276,5.418710121,AD
18/03/2020,9.030715784,1.692222208,AD
19/03/2020,5.248208743,0.809082208,AD
20/03/2020,4.426019838,0.564549122,AD
21/03/2020,3.420476592,0.394098935,AD
22/03/2020,3.124039672,0.317272889,AD
23/03/2020,2.747921358,0.260785391,AD
24/03/2020,2.627860929,0.225580178,AD
25/03/2020,2.385458184,0.190385786,AD
26/03/2020,2.308393461,0.170247753,AD
27/03/2020,2.266918429,0.151882125,AD
28/03/2020,2.171867751,0.139235524,AD
29/03/2020,1.972925373,0.120930499,AD
30/03/2020,1.860545187,0.108261148,AD
31/03/2020,1.482899921,0.088805769,AD
01/04/2020,1.39305891,0.079248673,AD
02/04/2020,1.384259854,0.075501146,AD
03/04/2020,1.26059113,0.070038207,AD
04/04/2020,1.245538793,0.066552611,AD
05/04/2020,1.226311404,0.065031832,AD
06/04/2020,1.193238977,0.06172772,AD
07/04/2020,1.121188463,0.058267066,AD
08/04/2020,1.079983989,0.056601478,AD
09/04/2020,1.014951015,0.054339856,AD
10/04/2020,0.93828532,0.051620871,AD
11/04/2020,0.829170158,0.049037422,AD
12/04/2020,0.87887946,0.050971316,AD
13/04/2020,0.820890735,0.04961989,AD
14/04/2020,0.86794361,0.052189736,AD
15/04/2020,0.895133407,0.05309755,AD
16/04/2020,0.794490533,0.050591873,AD
17/04/2020,0.859480375,0.053310977,AD
18/04/2020,0.821741087,0.053772003,AD
19/04/2020,0.755801846,0.051514622,AD
20/04/2020,0.712564296,0.052002479,AD
21/04/2020,0.671561264,0.051226496,AD
22/04/2020,0.657961217,0.052422925,AD
23/04/2020,0.618686688,0.052864472,AD
24/04/2020,0.615657545,0.05413447,AD
25/04/2020,0.697987635,0.060401346,AD
26/04/2020,0.54711192,0.055107556,AD
27/04/2020,0.569160976,0.05820271,AD
28/04/2020,0.536283945,0.058505734,AD
29/04/2020,0.489469971,0.059217377,AD
30/04/2020,0.552551351,0.06647982,AD
01/05/2020,0.415522317,0.059900118,AD
02/05/2020,0.404292778,0.06205888,AD
03/05/2020,0.370958046,0.062427329,AD
04/05/2020,0.394645934,0.068376917,AD
05/05/2020,0.45783962,0.078639169,AD
06/05/2020,0.426026522,0.080782804,AD
07/05/2020,0.490927084,0.09175993,AD
08/05/2020,0.398650474,0.086638104,AD
09/05/2020,0.344054987,0.0841823,AD
10/05/2020,0.409004652,0.098539321,AD
11/05/2020,0.331999014,0.093214666,AD
12/05/2020,0.461909126,0.118782356,AD
13/05/2020,0.584249973,0.140718477,AD
14/05/2020,0.603303518,0.152043695,AD
15/05/2020,0.646089838,0.160707818,AD
16/05/2020,0.608806115,0.161811905,AD
17/05/2020,0.60679965,0.166754229,AD
18/05/2020,0.553283864,0.161929833,AD
19/05/2020,0.547693884,0.167602117,AD
20/05/2020,0.64687087,0.186296007,AD
21/05/2020,0.638312531,0.194441227,AD
22/05/2020,0.681538861,0.208076844,AD
23/05/2020,0.596018203,0.202876739,AD
24/05/2020,0.564353173,0.199662434,AD
25/05/2020,0.682529948,0.229907414,AD
26/05/2020,0.489613733,0.202401701,AD
27/05/2020,0.352378086,0.178723281,AD
28/05/2020,0.298197015,0.17354548,AD
29/05/2020,0.455300997,0.23035044,AD
30/05/2020,0.521374563,0.263623032,AD
31/05/2020,0.585233766,0.298257674,AD
01/06/2020,0.804059582,0.365661324,AD
02/06/2020,14.5365013,1.876520959,AD
03/06/2020,7.305212479,0.970798297,AD
04/06/2020,3.653313957,0.440731013,AD
05/06/2020,2.400150764,0.274217748,AD
06/06/2020,1.860401091,0.203165018,AD
07/06/2020,1.575962331,0.170296686,AD
08/06/2020,1.394923394,0.149031198,AD
09/06/2020,1.290597765,0.138906243,AD
10/06/2020,1.222260759,0.130738932,AD
11/06/2020,1.174512412,0.126319913,AD
12/06/2020,1.140448756,0.121098091,AD
13/06/2020,1.115530418,0.116833534,AD
14/06/2020,1.093831025,0.114963705,AD
15/06/2020,1.068398061,0.114053935,AD
16/06/2020,0.131140041,0.039371793,AD
17/06/2020,0.051374578,0.026013748,AD
18/06/2020,0.060632608,0.030751184,AD
19/06/2020,0.074442102,0.037206977,AD
20/06/2020,0.094004168,0.047169898,AD
21/06/2020,0.117844672,0.059257278,AD
22/06/2020,0.145730934,0.073349607,AD
23/06/2020,0.177831942,0.089048155,AD
24/06/2020,0.216652364,0.108545112,AD
25/06/2020,0.259400015,0.130145613,AD
26/06/2020,0.227121803,0.132001538,AD
27/06/2020,0.268143812,0.156889037,AD
28/06/2020,0.314292587,0.185099607,AD
29/06/2020,0.359809326,0.210914247,AD
30/06/2020,0.27627689,0.199122704,AD
01/07/2020,0.317067558,0.225236959,AD
02/07/2020,0.182789447,0.186846011,AD
03/07/2020,0.216411071,0.221742523,AD
04/07/2020,0.25500982,0.261526161,AD
05/07/2020,0.305704493,0.312161559,AD
06/07/2020,0.365981094,0.370062704,AD
07/07/2020,0.426777546,0.437894694,AD
08/07/2020,0.509946697,0.521305875,AD
09/07/2020,0.588270221,0.59295024,AD
10/07/2020,0.692459855,0.703921491,AD
11/07/2020,0.784246008,0.800384513,AD
12/07/2020,0.890743483,0.898705778,AD
13/07/2020,4.056256631,2.162605133,AD
14/07/2020,6.036300647,2.479613228,AD
15/07/2020,4.471534744,1.64153717,AD
16/07/2020,8.434545262,1.852552588,AD
17/07/2020,5.246951472,1.072295011,AD
18/07/2020,3.110129197,0.633780804,AD
19/07/2020,2.227823873,0.446933462,AD
20/07/2020,2.060872799,0.381140394,AD
21/07/2020,1.75124467,0.324579393,AD
22/07/2020,1.790536824,0.302640449,AD
23/07/2020,1.594821623,0.270493858,AD
24/07/2020,1.770162128,0.270374186,AD
25/07/2020,1.598965761,0.246540139,AD
26/07/2020,1.444859872,0.219846437,AD
27/07/2020,1.546731405,0.220972719,AD
28/07/2020,1.347213337,0.197212332,AD
29/07/2020,1.532851549,0.2047652,AD
30/07/2020,1.151438758,0.169633265,AD
31/07/2020,1.095318365,0.162200678,AD
01/08/2020,1.074150002,0.158690034,AD
02/08/2020,1.061130479,0.157025889,AD
03/08/2020,1.239179555,0.168308639,AD
04/08/2020,1.260689438,0.169829176,AD
05/08/2020,1.108474802,0.155483433,AD
06/08/2020,1.18324429,0.156976794,AD
07/08/2020,1.218130141,0.158439972,AD
07/03/2020,2.365514863,0.415725325,AE
08/03/2020,2.030960783,0.357204015,AE
09/03/2020,1.722668659,0.304802919,AE
10/03/2020,2.854348474,0.365623126,AE
11/03/2020,2.355039309,0.308679512,AE
12/03/2020,2.239848535,0.272986411,AE
13/03/2020,1.704959017,0.212429937,AE
14/03/2020,1.439740869,0.17994805,AE
15/03/2020,1.573755881,0.182725344,AE
16/03/2020,1.452730391,0.166549905,AE
17/03/2020,1.244833126,0.147945363,AE
18/03/2020,1.421745496,0.155978186,AE
19/03/2020,1.733804073,0.166248071,AE
20/03/2020,1.588647537,0.151989561,AE
21/03/2020,1.398601637,0.135505126,AE
22/03/2020,1.294775325,0.126850891,AE
23/03/2020,1.725402024,0.139754577,AE
24/03/2020,1.806483903,0.139597467,AE
25/03/2020,2.393868233,0.154381903,AE
26/03/2020,1.940832581,0.129419246,AE
27/03/2020,2.120254427,0.127077319,AE
28/03/2020,2.162482092,0.120140005,AE
29/03/2020,2.250764792,0.117096549,AE
30/03/2020,2.046616747,0.103499469,AE
31/03/2020,1.910161376,0.093122684,AE
01/04/2020,2.039925778,0.091336914,AE
02/04/2020,2.21428568,0.0907129,AE
03/04/2020,2.380665458,0.091156223,AE
04/04/2020,2.369398906,0.089178263,AE
05/04/2020,2.368392268,0.085706515,AE
06/04/2020,2.217779888,0.079566488,AE
07/04/2020,2.067360469,0.071125926,AE
08/04/2020,1.92492201,0.063248724,AE
09/04/2020,1.892621139,0.059015866,AE
10/04/2020,1.831210423,0.054267963,AE
11/04/2020,1.775464171,0.049932206,AE
12/04/2020,1.705387745,0.046363865,AE
13/04/2020,1.67283128,0.043495852,AE
14/04/2020,1.638975226,0.04067055,AE
15/04/2020,1.575957048,0.037971785,AE
16/04/2020,1.510847634,0.035301108,AE
17/04/2020,1.453258617,0.032519913,AE
18/04/2020,1.28053406,0.028332383,AE
19/04/2020,1.253078127,0.026066588,AE
20/04/2020,1.247605593,0.024488949,AE
21/04/2020,1.245348122,0.02312226,AE
22/04/2020,1.237440983,0.021752821,AE
23/04/2020,1.23003254,0.021257576,AE
24/04/2020,1.215766808,0.020381135,AE
25/04/2020,1.203271843,0.019571688,AE
26/04/2020,1.190831684,0.019041052,AE
27/04/2020,1.169770025,0.018308661,AE
28/04/2020,1.15913294,0.01766383,AE
29/04/2020,1.148388124,0.017206664,AE
30/04/2020,1.135392746,0.016469841,AE
01/05/2020,1.122416688,0.015992507,AE
02/05/2020,1.190119256,0.016372081,AE
03/05/2020,1.173214169,0.015856886,AE
04/05/2020,1.152175764,0.015434379,AE
05/05/2020,1.116929045,0.01499768,AE
06/05/2020,1.100939338,0.014557395,AE
07/05/2020,1.078395423,0.014133561,AE
08/05/2020,1.066587271,0.013585133,AE
09/05/2020,1.066598456,0.013610001,AE
10/05/2020,1.089469128,0.013202904,AE
11/05/2020,1.101925365,0.013188111,AE
12/05/2020,1.117556295,0.013464311,AE
13/05/2020,1.120801659,0.013121739,AE
14/05/2020,1.117812182,0.013101506,AE
15/05/2020,1.119812754,0.013064585,AE
16/05/2020,1.126759561,0.013078287,AE
17/05/2020,1.123826061,0.012834647,AE
18/05/2020,1.132101544,0.012776171,AE
19/05/2020,1.155959322,0.012991726,AE
20/05/2020,1.173298743,0.013200692,AE
21/05/2020,1.184949112,0.013196983,AE
22/05/2020,1.197352927,0.013252825,AE
23/05/2020,1.17898104,0.01313475,AE
24/05/2020,1.142190836,0.012900805,AE
25/05/2020,1.125121526,0.012678598,AE
26/05/2020,1.098956371,0.012170402,AE
27/05/2020,1.093106032,0.011826683,AE
28/05/2020,1.062785482,0.011399609,AE
29/05/2020,1.039198888,0.011017776,AE
30/05/2020,1.024143688,0.010802629,AE
31/05/2020,1.012727747,0.010438641,AE
01/06/2020,0.992218056,0.010070608,AE
02/06/2020,0.967791312,0.009886927,AE
03/06/2020,0.938119143,0.009557506,AE
04/06/2020,0.924979318,0.009514417,AE
05/06/2020,0.902546971,0.009352885,AE
06/06/2020,0.899829039,0.009456249,AE
07/06/2020,0.893485212,0.009603812,AE
08/06/2020,0.88626244,0.009621787,AE
09/06/2020,0.879260291,0.009763735,AE
